,cell id,Cell Type,PN_A Convergence,PN_C Convergence,SOM Convergence,PV Convergence,Total Exc Convergence,Total Inh Convergence,Net Exc,net Exc only PV,Total number of connections,Winner connections,is winner?,recieves tone?,disynapses
0,1,PN Type A Cell,11,2,2,41,13,43,-30,-28,56,0,Loser,recieves tone,0
1,2,PN Type A Cell,11,7,4,41,18,45,-27,-23,63,2,Loser,recieves tone,794
2,3,PN Type A Cell,6,4,2,45,10,47,-37,-35,57,0,Loser,recieves tone,792
3,4,PN Type A Cell,12,3,1,49,15,50,-35,-34,65,0,Loser,recieves tone,852
4,5,PN Type A Cell,14,3,2,48,17,50,-33,-31,67,2,Loser,recieves tone,949
5,6,PN Type A Cell,17,4,7,53,21,60,-39,-32,81,0,Loser,recieves tone,941
6,7,PN Type A Cell,9,5,2,41,14,43,-29,-27,57,2,Loser,recieves tone,1028
7,8,PN Type A Cell,8,3,3,44,11,47,-36,-33,58,0,Loser,does not recieve tone,807
8,9,PN Type A Cell,6,8,6,45,14,51,-37,-31,65,0,Loser,does not recieve tone,885
9,10,PN Type A Cell,5,8,3,61,13,64,-51,-48,77,2,Loser,does not recieve tone,880
10,11,PN Type A Cell,10,7,1,38,17,39,-22,-21,56,2,Loser,does not recieve tone,1201
11,12,PN Type A Cell,13,5,5,51,18,56,-38,-33,74,3,Loser,recieves tone,727
12,13,PN Type A Cell,14,1,2,42,15,44,-29,-27,59,0,Loser,recieves tone,1003
13,14,PN Type A Cell,7,1,3,45,8,48,-40,-37,56,1,Loser,recieves tone,804
14,15,PN Type A Cell,8,4,4,39,12,43,-31,-27,55,0,Loser,does not recieve tone,904
15,16,PN Type A Cell,9,2,7,52,11,59,-48,-41,70,1,Loser,recieves tone,753
16,17,PN Type A Cell,11,7,1,46,18,47,-29,-28,65,2,Loser,recieves tone,1015
17,18,PN Type A Cell,10,6,4,52,16,56,-40,-36,72,2,Loser,does not recieve tone,894
18,19,PN Type A Cell,17,3,4,56,20,60,-40,-36,80,1,Loser,recieves tone,1013
19,20,PN Type A Cell,9,3,5,61,12,66,-54,-49,78,1,Loser,recieves tone,1096
20,21,PN Type A Cell,12,5,5,34,17,39,-22,-17,56,0,Loser,recieves tone,1208
21,22,PN Type A Cell,10,5,7,50,15,57,-42,-35,72,2,Loser,recieves tone,694
22,23,PN Type A Cell,18,8,3,53,26,56,-30,-27,82,3,Loser,recieves tone,979
23,24,PN Type A Cell,12,5,2,46,17,48,-31,-29,65,0,Loser,recieves tone,1062
24,25,PN Type A Cell,12,6,1,42,18,43,-25,-24,61,0,Loser,recieves tone,918
25,26,PN Type A Cell,8,5,0,49,13,49,-36,-36,62,2,Loser,recieves tone,877
26,27,PN Type A Cell,13,3,5,44,16,49,-33,-28,65,1,Loser,recieves tone,909
27,28,PN Type A Cell,6,1,4,55,7,59,-52,-48,66,0,Loser,recieves tone,871
28,29,PN Type A Cell,9,4,5,34,13,39,-26,-21,52,2,Loser,recieves tone,1082
29,30,PN Type A Cell,11,3,2,48,14,50,-36,-34,64,2,Loser,recieves tone,676
30,31,PN Type A Cell,14,6,7,44,20,51,-31,-24,71,1,Loser,recieves tone,960
31,32,PN Type A Cell,9,1,6,46,10,52,-42,-36,62,0,Loser,recieves tone,867
32,33,PN Type A Cell,12,4,4,47,16,51,-35,-31,67,1,Loser,does not recieve tone,882
33,34,PN Type A Cell,13,4,0,33,17,33,-16,-16,50,1,Loser,recieves tone,894
34,35,PN Type A Cell,12,2,1,53,14,54,-40,-39,68,1,Loser,recieves tone,654
35,36,PN Type A Cell,7,2,3,39,9,42,-33,-30,51,0,Loser,recieves tone,1034
36,37,PN Type A Cell,16,6,8,43,22,51,-29,-21,73,4,Loser,recieves tone,736
37,38,PN Type A Cell,10,3,4,43,13,47,-34,-30,60,1,Loser,recieves tone,889
38,39,PN Type A Cell,13,3,3,48,16,51,-35,-32,67,2,Loser,recieves tone,842
39,40,PN Type A Cell,12,4,4,45,16,49,-33,-29,65,1,Loser,does not recieve tone,926
40,41,PN Type A Cell,10,4,8,55,14,63,-49,-41,77,2,Loser,recieves tone,892
41,42,PN Type A Cell,10,4,2,47,14,49,-35,-33,63,1,Loser,recieves tone,1085
42,43,PN Type A Cell,10,4,3,52,14,55,-41,-38,69,0,Loser,does not recieve tone,883
43,44,PN Type A Cell,11,3,3,45,14,48,-34,-31,62,0,Loser,recieves tone,1034
44,45,PN Type A Cell,14,3,3,48,17,51,-34,-31,68,2,Loser,does not recieve tone,866
45,46,PN Type A Cell,15,5,5,40,20,45,-25,-20,65,1,Loser,recieves tone,934
46,47,PN Type A Cell,5,7,7,39,12,46,-34,-27,58,1,Loser,does not recieve tone,751
47,48,PN Type A Cell,11,7,7,45,18,52,-34,-27,70,0,Loser,recieves tone,804
48,49,PN Type A Cell,10,4,2,35,14,37,-23,-21,51,1,Loser,does not recieve tone,878
49,50,PN Type A Cell,11,5,3,40,16,43,-27,-24,59,2,Loser,does not recieve tone,681
50,51,PN Type A Cell,15,9,2,50,24,52,-28,-26,76,3,Loser,recieves tone,796
51,52,PN Type A Cell,12,5,0,42,17,42,-25,-25,59,3,Loser,recieves tone,978
52,53,PN Type A Cell,13,4,4,44,17,48,-31,-27,65,1,Loser,recieves tone,853
53,54,PN Type A Cell,11,5,7,46,16,53,-37,-30,69,2,Loser,recieves tone,841
54,55,PN Type A Cell,10,5,6,38,15,44,-29,-23,59,3,Loser,recieves tone,906
55,56,PN Type A Cell,6,9,5,44,15,49,-34,-29,64,4,Loser,recieves tone,760
56,57,PN Type A Cell,7,4,1,51,11,52,-41,-40,63,0,Loser,recieves tone,878
57,58,PN Type A Cell,13,6,5,51,19,56,-37,-32,75,2,Loser,recieves tone,1015
58,59,PN Type A Cell,8,2,5,51,10,56,-46,-41,66,0,Loser,recieves tone,1037
59,60,PN Type A Cell,12,2,3,53,14,56,-42,-39,70,0,Loser,recieves tone,966
60,61,PN Type A Cell,9,4,6,49,13,55,-42,-36,68,2,Loser,does not recieve tone,978
61,62,PN Type A Cell,9,3,2,44,12,46,-34,-32,58,0,Loser,recieves tone,933
62,63,PN Type A Cell,15,3,1,46,18,47,-29,-28,65,1,Loser,does not recieve tone,861
63,64,PN Type A Cell,11,4,2,50,15,52,-37,-35,67,2,Loser,recieves tone,914
64,65,PN Type A Cell,11,5,2,45,16,47,-31,-29,63,0,Loser,does not recieve tone,944
65,66,PN Type A Cell,9,5,2,39,14,41,-27,-25,55,1,Loser,does not recieve tone,910
66,67,PN Type A Cell,9,2,4,40,11,44,-33,-29,55,0,Loser,recieves tone,769
67,68,PN Type A Cell,7,7,3,50,14,53,-39,-36,67,3,Loser,recieves tone,776
68,69,PN Type A Cell,13,6,4,47,19,51,-32,-28,70,1,Loser,recieves tone,961
69,70,PN Type A Cell,10,3,3,46,13,49,-36,-33,62,0,Loser,recieves tone,913
70,71,PN Type A Cell,10,7,2,52,17,54,-37,-35,71,4,Loser,does not recieve tone,874
71,72,PN Type A Cell,13,2,4,39,15,43,-28,-24,58,1,Loser,recieves tone,986
72,73,PN Type A Cell,14,1,2,56,15,58,-43,-41,73,0,Loser,recieves tone,740
73,74,PN Type A Cell,12,2,2,55,14,57,-43,-41,71,0,Loser,recieves tone,1072
74,75,PN Type A Cell,10,8,8,47,18,55,-37,-29,73,1,Loser,does not recieve tone,1070
75,76,PN Type A Cell,13,8,4,45,21,49,-28,-24,70,3,Loser,recieves tone,935
76,77,PN Type A Cell,6,6,4,52,12,56,-44,-40,68,2,Loser,recieves tone,880
77,78,PN Type A Cell,8,6,2,43,14,45,-31,-29,59,2,Loser,recieves tone,978
78,79,PN Type A Cell,12,2,4,48,14,52,-38,-34,66,1,Loser,recieves tone,882
79,80,PN Type A Cell,7,3,3,39,10,42,-32,-29,52,1,Loser,recieves tone,952
80,81,PN Type A Cell,9,7,0,54,16,54,-38,-38,70,2,Loser,does not recieve tone,765
81,82,PN Type A Cell,9,4,5,51,13,56,-43,-38,69,0,Loser,does not recieve tone,1066
82,83,PN Type A Cell,9,8,2,39,17,41,-24,-22,58,3,Loser,does not recieve tone,1012
83,84,PN Type A Cell,14,3,1,40,17,41,-24,-23,58,2,Loser,recieves tone,740
84,85,PN Type A Cell,10,1,2,44,11,46,-35,-33,57,0,Loser,recieves tone,793
85,86,PN Type A Cell,12,5,3,50,17,53,-36,-33,70,2,Loser,does not recieve tone,832
86,87,PN Type A Cell,17,4,3,47,21,50,-29,-26,71,1,Loser,recieves tone,983
87,88,PN Type A Cell,8,3,4,39,11,43,-32,-28,54,0,Loser,recieves tone,904
88,89,PN Type A Cell,12,3,5,45,15,50,-35,-30,65,1,Loser,recieves tone,760
89,90,PN Type A Cell,7,5,0,51,12,51,-39,-39,63,0,Loser,recieves tone,856
90,91,PN Type A Cell,2,7,1,36,9,37,-28,-27,46,2,Loser,recieves tone,965
91,92,PN Type A Cell,11,5,3,45,16,48,-32,-29,64,0,Loser,recieves tone,716
92,93,PN Type A Cell,9,5,1,47,14,48,-34,-33,62,3,Loser,does not recieve tone,867
93,94,PN Type A Cell,15,5,6,39,20,45,-25,-19,65,3,Loser,does not recieve tone,948
94,95,PN Type A Cell,7,6,1,42,13,43,-30,-29,56,2,Loser,recieves tone,767
95,96,PN Type A Cell,12,1,8,36,13,44,-31,-23,57,0,Loser,recieves tone,846
96,97,PN Type A Cell,11,5,5,45,16,50,-34,-29,66,1,Loser,does not recieve tone,726
97,98,PN Type A Cell,16,3,1,51,19,52,-33,-32,71,0,Loser,recieves tone,914
98,99,PN Type A Cell,15,5,5,51,20,56,-36,-31,76,0,Loser,recieves tone,996
99,100,PN Type A Cell,8,9,2,43,17,45,-28,-26,62,4,Loser,does not recieve tone,989
100,101,PN Type A Cell,11,6,1,48,17,49,-32,-31,66,1,Loser,recieves tone,830
101,102,PN Type A Cell,12,10,4,40,22,44,-22,-18,66,4,Loser,recieves tone,911
102,103,PN Type A Cell,21,4,4,46,25,50,-25,-21,75,1,Loser,recieves tone,775
103,104,PN Type A Cell,12,7,5,44,19,49,-30,-25,68,2,Loser,recieves tone,883
104,105,PN Type A Cell,9,4,3,51,13,54,-41,-38,67,1,Loser,recieves tone,843
105,106,PN Type A Cell,14,10,4,51,24,55,-31,-27,79,3,Loser,does not recieve tone,972
106,107,PN Type A Cell,10,3,4,32,13,36,-23,-19,49,1,Loser,recieves tone,998
107,108,PN Type A Cell,9,2,5,53,11,58,-47,-42,69,1,Loser,recieves tone,630
108,109,PN Type A Cell,14,4,3,37,18,40,-22,-19,58,3,Loser,recieves tone,1049
109,110,PN Type A Cell,13,5,6,42,18,48,-30,-24,66,2,Loser,recieves tone,701
110,111,PN Type A Cell,8,2,2,45,10,47,-37,-35,57,0,Loser,recieves tone,835
111,112,PN Type A Cell,5,5,4,43,10,47,-37,-33,57,1,Loser,recieves tone,849
112,113,PN Type A Cell,8,4,4,43,12,47,-35,-31,59,1,Loser,recieves tone,822
113,114,PN Type A Cell,12,7,2,46,19,48,-29,-27,67,0,Loser,does not recieve tone,841
114,115,PN Type A Cell,6,4,4,49,10,53,-43,-39,63,1,Loser,recieves tone,899
115,116,PN Type A Cell,9,5,4,45,14,49,-35,-31,63,0,Loser,recieves tone,921
116,117,PN Type A Cell,10,3,6,47,13,53,-40,-34,66,1,Loser,recieves tone,916
117,118,PN Type A Cell,9,5,4,40,14,44,-30,-26,58,1,Loser,does not recieve tone,961
118,119,PN Type A Cell,14,5,5,47,19,52,-33,-28,71,2,Loser,recieves tone,773
119,120,PN Type A Cell,10,3,5,53,13,58,-45,-40,71,1,Loser,recieves tone,943
120,121,PN Type A Cell,11,3,0,41,14,41,-27,-27,55,0,Loser,does not recieve tone,976
121,122,PN Type A Cell,13,1,5,39,14,44,-30,-25,58,1,Loser,recieves tone,793
122,123,PN Type A Cell,10,5,2,41,15,43,-28,-26,58,0,Loser,recieves tone,780
123,124,PN Type A Cell,17,4,6,41,21,47,-26,-20,68,1,Loser,does not recieve tone,784
124,125,PN Type A Cell,14,9,3,48,23,51,-28,-25,74,2,Loser,does not recieve tone,797
125,126,PN Type A Cell,9,6,2,49,15,51,-36,-34,66,2,Loser,recieves tone,948
126,127,PN Type A Cell,10,4,5,45,14,50,-36,-31,64,2,Loser,recieves tone,976
127,128,PN Type A Cell,14,6,2,50,20,52,-32,-30,72,2,Loser,recieves tone,875
128,129,PN Type A Cell,14,4,2,53,18,55,-37,-35,73,0,Loser,does not recieve tone,1019
129,130,PN Type A Cell,15,5,6,40,20,46,-26,-20,66,2,Loser,does not recieve tone,1074
130,131,PN Type A Cell,5,4,3,55,9,58,-49,-46,67,0,Loser,recieves tone,768
131,132,PN Type A Cell,14,2,2,46,16,48,-32,-30,64,2,Loser,does not recieve tone,1087
132,133,PN Type A Cell,13,7,2,46,20,48,-28,-26,68,2,Loser,does not recieve tone,918
133,134,PN Type A Cell,13,6,4,56,19,60,-41,-37,79,2,Loser,does not recieve tone,872
134,135,PN Type A Cell,12,5,1,53,17,54,-37,-36,71,2,Loser,recieves tone,1089
135,136,PN Type A Cell,12,3,4,50,15,54,-39,-35,69,1,Loser,recieves tone,1046
136,137,PN Type A Cell,4,8,4,52,12,56,-44,-40,68,3,Winner,recieves tone,1010
137,138,PN Type A Cell,11,1,2,38,12,40,-28,-26,52,1,Loser,recieves tone,1008
138,139,PN Type A Cell,12,4,0,45,16,45,-29,-29,61,0,Loser,recieves tone,782
139,140,PN Type A Cell,9,3,7,51,12,58,-46,-39,70,0,Loser,recieves tone,851
140,141,PN Type A Cell,11,8,2,46,19,48,-29,-27,67,2,Loser,does not recieve tone,989
141,142,PN Type A Cell,18,8,5,45,26,50,-24,-19,76,4,Winner,recieves tone,927
142,143,PN Type A Cell,11,3,2,51,14,53,-39,-37,67,1,Loser,recieves tone,892
143,144,PN Type A Cell,8,6,2,45,14,47,-33,-31,61,1,Loser,does not recieve tone,998
144,145,PN Type A Cell,10,3,3,42,13,45,-32,-29,58,1,Loser,does not recieve tone,875
145,146,PN Type A Cell,14,4,4,50,18,54,-36,-32,72,1,Loser,does not recieve tone,835
146,147,PN Type A Cell,16,4,3,53,20,56,-36,-33,76,0,Loser,recieves tone,1005
147,148,PN Type A Cell,12,4,3,43,16,46,-30,-27,62,0,Loser,does not recieve tone,1019
148,149,PN Type A Cell,9,6,1,55,15,56,-41,-40,71,1,Loser,recieves tone,834
149,150,PN Type A Cell,9,8,6,44,17,50,-33,-27,67,1,Loser,does not recieve tone,1050
150,151,PN Type A Cell,13,1,4,45,14,49,-35,-31,63,0,Loser,recieves tone,847
151,152,PN Type A Cell,11,5,2,40,16,42,-26,-24,58,4,Loser,does not recieve tone,915
152,153,PN Type A Cell,13,8,3,50,21,53,-32,-29,74,4,Loser,recieves tone,721
153,154,PN Type A Cell,11,1,4,52,12,56,-44,-40,68,1,Loser,recieves tone,972
154,155,PN Type A Cell,13,7,6,35,20,41,-21,-15,61,1,Loser,does not recieve tone,1026
155,156,PN Type A Cell,14,5,2,42,19,44,-25,-23,63,1,Loser,recieves tone,702
156,157,PN Type A Cell,13,6,4,43,19,47,-28,-24,66,0,Loser,recieves tone,816
157,158,PN Type A Cell,14,3,5,44,17,49,-32,-27,66,0,Loser,does not recieve tone,845
158,159,PN Type A Cell,6,0,1,47,6,48,-42,-41,54,0,Loser,recieves tone,856
159,160,PN Type A Cell,16,3,5,41,19,46,-27,-22,65,0,Loser,recieves tone,911
160,161,PN Type A Cell,4,6,7,54,10,61,-51,-44,71,3,Loser,recieves tone,801
161,162,PN Type A Cell,8,7,6,41,15,47,-32,-26,62,3,Loser,recieves tone,1030
162,163,PN Type A Cell,8,6,6,58,14,64,-50,-44,78,3,Loser,does not recieve tone,822
163,164,PN Type A Cell,12,0,4,42,12,46,-34,-30,58,0,Loser,recieves tone,1156
164,165,PN Type A Cell,12,3,3,42,15,45,-30,-27,60,1,Loser,recieves tone,822
165,166,PN Type A Cell,7,2,3,51,9,54,-45,-42,63,1,Loser,recieves tone,805
166,167,PN Type A Cell,17,6,2,40,23,42,-19,-17,65,1,Loser,recieves tone,976
167,168,PN Type A Cell,11,3,3,45,14,48,-34,-31,62,0,Loser,recieves tone,742
168,169,PN Type A Cell,9,4,7,43,13,50,-37,-30,63,1,Loser,recieves tone,911
169,170,PN Type A Cell,14,4,3,36,18,39,-21,-18,57,0,Loser,recieves tone,863
170,171,PN Type A Cell,10,4,4,47,14,51,-37,-33,65,2,Loser,does not recieve tone,705
171,172,PN Type A Cell,8,0,3,50,8,53,-45,-42,61,0,Loser,recieves tone,944
172,173,PN Type A Cell,11,7,5,43,18,48,-30,-25,66,4,Loser,recieves tone,934
173,174,PN Type A Cell,10,4,1,33,14,34,-20,-19,48,1,Loser,recieves tone,810
174,175,PN Type A Cell,9,4,4,43,13,47,-34,-30,60,1,Loser,recieves tone,667
175,176,PN Type A Cell,18,7,4,46,25,50,-25,-21,75,2,Loser,recieves tone,891
176,177,PN Type A Cell,9,3,3,43,12,46,-34,-31,58,0,Loser,recieves tone,872
177,178,PN Type A Cell,10,3,0,51,13,51,-38,-38,64,2,Loser,recieves tone,851
178,179,PN Type A Cell,8,6,4,39,14,43,-29,-25,57,2,Loser,does not recieve tone,1018
179,180,PN Type A Cell,13,5,9,46,18,55,-37,-28,73,1,Loser,recieves tone,724
180,181,PN Type A Cell,9,4,6,47,13,53,-40,-34,66,1,Loser,recieves tone,831
181,182,PN Type A Cell,9,4,6,37,13,43,-30,-24,56,1,Loser,recieves tone,930
182,183,PN Type A Cell,8,4,4,42,12,46,-34,-30,58,2,Loser,recieves tone,706
183,184,PN Type A Cell,7,7,2,47,14,49,-35,-33,63,0,Loser,recieves tone,830
184,185,PN Type A Cell,17,3,4,49,20,53,-33,-29,73,0,Loser,does not recieve tone,940
185,186,PN Type A Cell,12,2,4,49,14,53,-39,-35,67,2,Loser,does not recieve tone,967
186,187,PN Type A Cell,17,3,5,41,20,46,-26,-21,66,3,Loser,recieves tone,941
187,188,PN Type A Cell,10,8,7,43,18,50,-32,-25,68,4,Loser,recieves tone,795
188,189,PN Type A Cell,10,4,1,54,14,55,-41,-40,69,2,Loser,does not recieve tone,811
189,190,PN Type A Cell,16,7,4,49,23,53,-30,-26,76,2,Loser,recieves tone,1087
190,191,PN Type A Cell,9,9,2,47,18,49,-31,-29,67,4,Loser,recieves tone,923
191,192,PN Type A Cell,10,4,3,50,14,53,-39,-36,67,1,Loser,does not recieve tone,908
192,193,PN Type A Cell,11,1,5,50,12,55,-43,-38,67,1,Loser,does not recieve tone,950
193,194,PN Type A Cell,16,2,2,54,18,56,-38,-36,74,2,Loser,recieves tone,935
194,195,PN Type A Cell,10,2,7,49,12,56,-44,-37,68,0,Loser,recieves tone,1084
195,196,PN Type A Cell,10,7,5,46,17,51,-34,-29,68,4,Loser,does not recieve tone,941
196,197,PN Type A Cell,18,3,4,40,21,44,-23,-19,65,0,Loser,does not recieve tone,884
197,198,PN Type A Cell,14,4,3,49,18,52,-34,-31,70,0,Loser,recieves tone,801
198,199,PN Type A Cell,11,5,3,51,16,54,-38,-35,70,2,Loser,recieves tone,934
199,200,PN Type A Cell,14,4,4,51,18,55,-37,-33,73,0,Loser,does not recieve tone,1019
200,201,PN Type A Cell,11,0,5,51,11,56,-45,-40,67,0,Loser,recieves tone,1000
201,202,PN Type A Cell,11,5,4,49,16,53,-37,-33,69,2,Loser,does not recieve tone,1016
202,203,PN Type A Cell,13,2,4,46,15,50,-35,-31,65,0,Loser,does not recieve tone,923
203,204,PN Type A Cell,15,1,5,47,16,52,-36,-31,68,0,Loser,recieves tone,914
204,205,PN Type A Cell,12,6,3,48,18,51,-33,-30,69,0,Loser,does not recieve tone,914
205,206,PN Type A Cell,9,5,3,50,14,53,-39,-36,67,2,Loser,does not recieve tone,954
206,207,PN Type A Cell,14,4,2,44,18,46,-28,-26,64,0,Loser,recieves tone,986
207,208,PN Type A Cell,11,4,2,49,15,51,-36,-34,66,2,Loser,does not recieve tone,830
208,209,PN Type A Cell,6,2,3,42,8,45,-37,-34,53,0,Loser,recieves tone,930
209,210,PN Type A Cell,14,3,3,47,17,50,-33,-30,67,0,Loser,recieves tone,837
210,211,PN Type A Cell,7,3,2,50,10,52,-42,-40,62,1,Loser,recieves tone,879
211,212,PN Type A Cell,15,1,3,43,16,46,-30,-27,62,0,Loser,does not recieve tone,981
212,213,PN Type A Cell,11,4,7,41,15,48,-33,-26,63,2,Loser,does not recieve tone,853
213,214,PN Type A Cell,12,3,2,49,15,51,-36,-34,66,0,Loser,recieves tone,819
214,215,PN Type A Cell,8,5,2,44,13,46,-33,-31,59,2,Loser,recieves tone,909
215,216,PN Type A Cell,8,6,1,44,14,45,-31,-30,59,1,Loser,does not recieve tone,858
216,217,PN Type A Cell,12,4,2,44,16,46,-30,-28,62,2,Loser,recieves tone,803
217,218,PN Type A Cell,8,4,4,47,12,51,-39,-35,63,0,Loser,recieves tone,833
218,219,PN Type A Cell,13,8,3,50,21,53,-32,-29,74,1,Loser,recieves tone,890
219,220,PN Type A Cell,14,3,3,47,17,50,-33,-30,67,0,Loser,recieves tone,1009
220,221,PN Type A Cell,5,5,5,47,10,52,-42,-37,62,3,Loser,recieves tone,934
221,222,PN Type A Cell,7,8,4,50,15,54,-39,-35,69,4,Loser,recieves tone,911
222,223,PN Type A Cell,12,3,4,48,15,52,-37,-33,67,1,Loser,recieves tone,971
223,224,PN Type A Cell,8,3,1,45,11,46,-35,-34,57,0,Loser,does not recieve tone,944
224,225,PN Type A Cell,12,4,2,43,16,45,-29,-27,61,1,Loser,recieves tone,855
225,226,PN Type A Cell,13,2,3,40,15,43,-28,-25,58,0,Loser,recieves tone,856
226,227,PN Type A Cell,6,5,3,42,11,45,-34,-31,56,4,Loser,recieves tone,727
227,228,PN Type A Cell,12,2,4,49,14,53,-39,-35,67,0,Loser,recieves tone,788
228,229,PN Type A Cell,11,4,7,38,15,45,-30,-23,60,1,Loser,recieves tone,941
229,230,PN Type A Cell,9,3,1,57,12,58,-46,-45,70,0,Loser,recieves tone,704
230,231,PN Type A Cell,14,2,4,42,16,46,-30,-26,62,1,Loser,recieves tone,1091
231,232,PN Type A Cell,13,5,5,37,18,42,-24,-19,60,0,Loser,recieves tone,812
232,233,PN Type A Cell,11,6,6,39,17,45,-28,-22,62,1,Loser,recieves tone,738
233,234,PN Type A Cell,14,1,4,54,15,58,-43,-39,73,1,Loser,recieves tone,729
234,235,PN Type A Cell,13,5,4,46,18,50,-32,-28,68,1,Loser,recieves tone,1051
235,236,PN Type A Cell,15,6,3,56,21,59,-38,-35,80,2,Loser,does not recieve tone,898
236,237,PN Type A Cell,12,4,2,46,16,48,-32,-30,64,0,Loser,recieves tone,1078
237,238,PN Type A Cell,8,2,3,47,10,50,-40,-37,60,1,Loser,recieves tone,896
238,239,PN Type A Cell,9,3,3,48,12,51,-39,-36,63,0,Loser,recieves tone,904
239,240,PN Type A Cell,6,3,4,51,9,55,-46,-42,64,1,Loser,does not recieve tone,971
240,241,PN Type A Cell,12,4,4,41,16,45,-29,-25,61,0,Loser,does not recieve tone,1016
241,242,PN Type A Cell,9,5,5,36,14,41,-27,-22,55,2,Loser,recieves tone,797
242,243,PN Type A Cell,7,1,5,48,8,53,-45,-40,61,0,Loser,recieves tone,684
243,244,PN Type A Cell,8,3,1,44,11,45,-34,-33,56,0,Loser,recieves tone,946
244,245,PN Type A Cell,10,5,3,53,15,56,-41,-38,71,2,Loser,recieves tone,864
245,246,PN Type A Cell,10,5,1,46,15,47,-32,-31,62,0,Loser,does not recieve tone,1051
246,247,PN Type A Cell,7,4,3,46,11,49,-38,-35,60,1,Loser,recieves tone,901
247,248,PN Type A Cell,7,1,2,51,8,53,-45,-43,61,0,Loser,does not recieve tone,916
248,249,PN Type A Cell,13,3,3,48,16,51,-35,-32,67,1,Loser,recieves tone,974
249,250,PN Type A Cell,8,7,4,45,15,49,-34,-30,64,3,Loser,does not recieve tone,907
250,251,PN Type A Cell,8,3,3,35,11,38,-27,-24,49,0,Loser,does not recieve tone,902
251,252,PN Type A Cell,11,4,3,49,15,52,-37,-34,67,1,Loser,does not recieve tone,712
252,253,PN Type A Cell,7,0,4,47,7,51,-44,-40,58,0,Loser,recieves tone,935
253,254,PN Type A Cell,11,7,1,39,18,40,-22,-21,58,2,Loser,recieves tone,989
254,255,PN Type A Cell,9,2,2,50,11,52,-41,-39,63,0,Loser,recieves tone,779
255,256,PN Type A Cell,14,6,6,34,20,40,-20,-14,60,0,Loser,does not recieve tone,963
256,257,PN Type A Cell,13,3,5,43,16,48,-32,-27,64,0,Loser,does not recieve tone,639
257,258,PN Type A Cell,7,5,4,48,12,52,-40,-36,64,4,Loser,recieves tone,826
258,259,PN Type A Cell,7,1,5,48,8,53,-45,-40,61,0,Loser,recieves tone,947
259,260,PN Type A Cell,7,1,3,41,8,44,-36,-33,52,0,Loser,recieves tone,944
260,261,PN Type A Cell,15,5,2,52,20,54,-34,-32,74,1,Loser,does not recieve tone,753
261,262,PN Type A Cell,13,6,2,44,19,46,-27,-25,65,2,Loser,does not recieve tone,1000
262,263,PN Type A Cell,15,5,1,37,20,38,-18,-17,58,2,Loser,recieves tone,866
263,264,PN Type A Cell,7,7,4,39,14,43,-29,-25,57,1,Loser,recieves tone,714
264,265,PN Type A Cell,7,4,4,48,11,52,-41,-37,63,1,Loser,recieves tone,736
265,266,PN Type A Cell,5,2,5,47,7,52,-45,-40,59,2,Loser,recieves tone,929
266,267,PN Type A Cell,13,4,6,43,17,49,-32,-26,66,1,Loser,recieves tone,933
267,268,PN Type A Cell,10,5,3,43,15,46,-31,-28,61,1,Loser,does not recieve tone,899
268,269,PN Type A Cell,10,0,6,43,10,49,-39,-33,59,1,Loser,recieves tone,837
269,270,PN Type A Cell,12,5,2,46,17,48,-31,-29,65,2,Loser,does not recieve tone,846
270,271,PN Type A Cell,12,3,1,38,15,39,-24,-23,54,0,Loser,recieves tone,895
271,272,PN Type A Cell,9,3,2,39,12,41,-29,-27,53,2,Loser,does not recieve tone,747
272,273,PN Type A Cell,10,4,3,58,14,61,-47,-44,75,2,Loser,recieves tone,754
273,274,PN Type A Cell,5,2,1,46,7,47,-40,-39,54,0,Loser,recieves tone,1122
274,275,PN Type A Cell,11,2,5,42,13,47,-34,-29,60,1,Loser,recieves tone,892
275,276,PN Type A Cell,10,3,2,48,13,50,-37,-35,63,2,Loser,does not recieve tone,773
276,277,PN Type A Cell,16,2,3,48,18,51,-33,-30,69,1,Loser,recieves tone,898
277,278,PN Type A Cell,10,5,4,46,15,50,-35,-31,65,2,Loser,does not recieve tone,969
278,279,PN Type A Cell,15,1,3,41,16,44,-28,-25,60,0,Loser,recieves tone,879
279,280,PN Type A Cell,9,10,4,42,19,46,-27,-23,65,3,Loser,does not recieve tone,820
280,281,PN Type A Cell,15,3,2,43,18,45,-27,-25,63,1,Loser,recieves tone,798
281,282,PN Type A Cell,7,5,4,44,12,48,-36,-32,60,0,Loser,recieves tone,823
282,283,PN Type A Cell,12,5,4,38,17,42,-25,-21,59,2,Loser,recieves tone,885
283,284,PN Type A Cell,11,5,1,53,16,54,-38,-37,70,3,Loser,recieves tone,717
284,285,PN Type A Cell,6,3,3,45,9,48,-39,-36,57,0,Loser,recieves tone,1057
285,286,PN Type A Cell,8,4,3,43,12,46,-34,-31,58,0,Loser,recieves tone,889
286,287,PN Type A Cell,10,3,1,57,13,58,-45,-44,71,2,Loser,recieves tone,844
287,288,PN Type A Cell,14,6,0,52,20,52,-32,-32,72,2,Loser,recieves tone,1101
288,289,PN Type A Cell,9,6,3,48,15,51,-36,-33,66,2,Loser,does not recieve tone,1036
289,290,PN Type A Cell,14,10,2,42,24,44,-20,-18,68,3,Loser,recieves tone,972
