timestamps population node_ids
13310 'shock' 0
13315 'shock' 0
13320 'shock' 0
13325 'shock' 0
13330 'shock' 0
13335 'shock' 0
13340 'shock' 0
13345 'shock' 0
13350 'shock' 0
14250 'shock' 0
14255 'shock' 0
14260 'shock' 0
14265 'shock' 0
14270 'shock' 0
14275 'shock' 0
14280 'shock' 0
14285 'shock' 0
14290 'shock' 0
14295 'shock' 0
14300 'shock' 0
14305 'shock' 0
14310 'shock' 0
14315 'shock' 0
14320 'shock' 0
14325 'shock' 0
14330 'shock' 0
14335 'shock' 0
14340 'shock' 0
14345 'shock' 0
14350 'shock' 0
15250 'shock' 0
15255 'shock' 0
15260 'shock' 0
15265 'shock' 0
15270 'shock' 0
15275 'shock' 0
15280 'shock' 0
15285 'shock' 0
15290 'shock' 0
15295 'shock' 0
15300 'shock' 0
15305 'shock' 0
15310 'shock' 0
15315 'shock' 0
15320 'shock' 0
15325 'shock' 0
15330 'shock' 0
15335 'shock' 0
15340 'shock' 0
15345 'shock' 0
15350 'shock' 0
16250 'shock' 0
16255 'shock' 0
16260 'shock' 0
16265 'shock' 0
16270 'shock' 0
16275 'shock' 0
16280 'shock' 0
16285 'shock' 0
16290 'shock' 0
16295 'shock' 0
16300 'shock' 0
16305 'shock' 0
16310 'shock' 0
16315 'shock' 0
16320 'shock' 0
16325 'shock' 0
16330 'shock' 0
16335 'shock' 0
16340 'shock' 0
16345 'shock' 0
16350 'shock' 0
15900 'shock' 0
15905 'shock' 0
15910 'shock' 0
15915 'shock' 0
15920 'shock' 0
15925 'shock' 0
15930 'shock' 0
15935 'shock' 0
15940 'shock' 0
15945 'shock' 0
15950 'shock' 0
15955 'shock' 0
15960 'shock' 0
15965 'shock' 0
15970 'shock' 0
15975 'shock' 0
15980 'shock' 0
15985 'shock' 0
15990 'shock' 0
15995 'shock' 0
16000 'shock' 0
19900 'shock' 0
19905 'shock' 0
19910 'shock' 0
19915 'shock' 0
19920 'shock' 0
19925 'shock' 0
19930 'shock' 0
19935 'shock' 0
19940 'shock' 0
19945 'shock' 0
19950 'shock' 0
19955 'shock' 0
19960 'shock' 0
19965 'shock' 0
19970 'shock' 0
19975 'shock' 0
19980 'shock' 0
